"CommunityArea","ca_num","pop_2000","pop_2010","pop_2001","pop_2002","pop_2003","pop_2004","pop_2005","pop_2006","pop_2007","pop_2008","pop_2009"
"Rogers Park",1,63484,54991,62634,61785,60936,60086,59237,58388,57538,56689,55840
"West Ridge",2,73199,71942,73073,72947,72821,72696,72570,72444,72319,72193,72067
"Uptown",3,63551,56362,62832,62113,61394,60675,59956,59237,58518,57799,57080
"Lincoln Square",4,44574,39493,44065,43557,43049,42541,42033,41525,41017,40509,40001
"North Center",5,31895,31867,31892,31889,31886,31883,31881,31878,31875,31872,31869
"Lake View",6,94817,94368,94772,94727,94682,94637,94592,94547,94502,94457,94412
"Lincoln Park",7,64320,64116,64299,64279,64258,64238,64218,64197,64177,64156,64136
"Near North Side",8,72811,80484,73578,74345,75112,75880,76647,77414,78182,78949,79716
"Edison Park",9,11259,11187,11251,11244,11237,11230,11223,11215,11208,11201,11194
"Norwood Park",10,37669,37023,37604,37539,37475,37410,37346,37281,37216,37152,37087
"Jefferson Park",11,25859,25448,25817,25776,25735,25694,25653,25612,25571,25530,25489
"Forest Glen",12,18165,18508,18199,18233,18267,18302,18336,18370,18405,18439,18473
"North Park",13,18514,17931,18455,18397,18339,18280,18222,18164,18105,18047,17989
"Albany Park",14,57655,51542,57043,56432,55821,55209,54598,53987,53375,52764,52153
"Portage Park",15,65340,64124,65218,65096,64975,64853,64732,64610,64488,64367,64245
"Irving Park",16,58643,53359,58114,57586,57057,56529,56001,55472,54944,54415,53887
"Dunning",17,42164,41932,42140,42117,42094,42071,42048,42024,42001,41978,41955
"Montclare",18,12646,13426,12724,12802,12879,12958,13036,13114,13191,13270,13348
"Belmont Cragin",19,78144,78743,78203,78263,78323,78383,78443,78503,78563,78623,78683
"Hermosa",20,26908,25010,26718,26528,26338,26148,25959,25769,25579,25389,25199
"Avondale",21,43083,39262,42700,42318,41936,41554,41172,40790,40408,40026,39644
"Logan Square",22,82715,73595,81803,80891,79979,79067,78155,77243,76331,75419,74507
"Humboldt Park",23,65836,56323,64884,63933,62982,62030,61079,60128,59176,58225,57274
"West Town",24,87435,81432,86834,86234,85634,85033,84433,83833,83232,82632,82032
"Austin",25,117527,98514,115625,113724,111823,109921,108020,106119,104217,102316,100415
"West Garfield Park",26,23019,18001,22517,22015,21513,21011,20510,20008,19506,19004,18502
"East Garfield Park",27,20881,20567,20849,20818,20786,20755,20724,20692,20661,20629,20598
"Near West Side",28,46419,54881,47265,48111,48957,49803,50650,51496,52342,53188,54034
"North Lawndale",29,41768,35912,41182,40596,40011,39425,38840,38254,37668,37083,36497
"South Lawndale",30,91071,79288,89892,88714,87536,86357,85179,84001,82822,81644,80466
"Lower West Side",31,44031,35769,43204,42378,41552,40726,39900,39073,38247,37421,36595
"Loop",32,16388,29283,17677,18967,20256,21546,22835,24125,25414,26704,27993
"Near South Side",33,9509,21390,10697,11885,13073,14261,15449,16637,17825,19013,20201
"Armour Square",34,12032,13391,12167,12303,12439,12575,12711,12847,12983,13119,13255
"Douglas",35,26470,18238,25646,24823,24000,23177,22354,21530,20707,19884,19061
"Oakland",36,6110,5918,6090,6071,6052,6033,6014,5994,5975,5956,5937
"Fuller Park",37,3420,2876,3365,3311,3256,3202,3148,3093,3039,2984,2930
"Grand Boulevard",38,28006,21929,27398,26790,26182,25575,24967,24359,23752,23144,22536
"Kenwood",39,18363,17841,18310,18258,18206,18154,18102,18049,17997,17945,17893
"Washington Park",40,14146,11717,13903,13660,13417,13174,12931,12688,12445,12202,11959
"Hyde Park",41,29920,25681,29496,29072,28648,28224,27800,27376,26952,26528,26104
"Woodlawn",42,27086,25983,26975,26865,26755,26644,26534,26424,26313,26203,26093
"South Shore",43,61556,49767,60377,59198,58019,56840,55661,54482,53303,52124,50945
"Chatham",44,37275,31028,36650,36025,35400,34776,34151,33526,32902,32277,31652
"Avalon Park",45,11147,10185,11050,10954,10858,10762,10666,10569,10473,10377,10281
"South Chicago",46,38596,31198,37856,37116,36376,35636,34897,34157,33417,32677,31937
"Burnside",47,3294,2916,3256,3218,3180,3142,3105,3067,3029,2991,2953
"Calumet Heights",48,15974,13812,15757,15541,15325,15109,14893,14676,14460,14244,14028
"Roseland",49,52723,44619,51912,51102,50291,49481,48671,47860,47050,46239,45429
"Pullman",50,8921,7325,8761,8601,8442,8282,8123,7963,7803,7644,7484
"South Deering",51,16990,15109,16801,16613,16425,16237,16049,15861,15673,15485,15297
"East Side",52,23653,23042,23591,23530,23469,23408,23347,23286,23225,23164,23103
"West Pullman",53,36649,29651,35949,35249,34549,33849,33150,32450,31750,31050,30350
"Riverdale",54,9809,6482,9476,9143,8810,8478,8145,7812,7480,7147,6814
"Hegewisch",55,9781,9426,9745,9710,9674,9639,9603,9568,9532,9497,9461
"Garfield Ridge",56,36101,34513,35942,35783,35624,35465,35307,35148,34989,34830,34671
"Archer Heights",57,12644,13393,12718,12793,12868,12943,13018,13093,13168,13243,13318
"Brighton Park",58,44912,45368,44957,45003,45048,45094,45140,45185,45231,45276,45322
"McKinley Park",59,15962,15612,15927,15892,15857,15822,15787,15752,15717,15682,15647
"Bridgeport",60,33694,31977,33522,33350,33178,33007,32835,32663,32492,32320,32148
"New City",61,51721,44377,50986,50252,49517,48783,48049,47314,46580,45845,45111
"West Elsdon",62,15921,18109,16139,16358,16577,16796,17015,17233,17452,17671,17890
"Gage Park",63,39193,39894,39263,39333,39403,39473,39543,39613,39683,39753,39823
"Clearing",64,22331,23139,22411,22492,22573,22654,22735,22815,22896,22977,23058
"West Lawn",65,29235,33355,29647,30059,30471,30883,31295,31707,32119,32531,32943
"Chicago Lawn",66,61412,55628,60833,60255,59676,59098,58520,57941,57363,56784,56206
"West Englewood",67,45282,35505,44304,43326,42348,41371,40393,39415,38438,37460,36482
"Englewood",68,40222,30654,39265,38308,37351,36394,35438,34481,33524,32567,31610
"Greater Grand Crossing",69,38619,32602,38017,37415,36813,36212,35610,35008,34407,33805,33203
"Ashburn",70,39584,41081,39733,39883,40033,40182,40332,40482,40631,40781,40931
"Auburn Gresham",71,55928,48743,55209,54491,53772,53054,52335,51617,50898,50180,49461
"Beverly",72,21992,20034,21796,21600,21404,21208,21013,20817,20621,20425,20229
"Washington Heights",73,29843,26493,29508,29173,28838,28503,28168,27833,27498,27163,26828
"Mount Greenwood",74,18820,19093,18847,18874,18901,18929,18956,18983,19011,19038,19065
"Morgan Park",75,25226,22544,24957,24689,24421,24153,23885,23616,23348,23080,22812
"O'Hare",76,11956,12756,12036,12116,12195,12276,12356,12436,12515,12596,12676
"Edgewater",77,62198,56521,61630,61062,60494,59927,59359,58791,58224,57656,57088
